season,week,gameday,away_team,home_team,away_score,home_score,away_spread_line,home_spread_line,pred_prob_home_cover,pred_home_covers,recommended_pick,home_off_epa_last_n,away_off_epa_last_n,home_def_epa_allowed_last_n,away_def_epa_allowed_last_n,home_pace_plays_last_n,away_pace_plays_last_n,home_ats_rate_last_n,away_ats_rate_last_n,home_point_diff_last_n,away_point_diff_last_n,home_score_for_last_n,away_score_for_last_n,home_score_against_last_n,away_score_against_last_n,home_rest,away_rest,total_line,pred_prob_total_over,pred_total_over,ou_pick,actual_home_covers,actual_result,was_correct,home_cover_margin,actual_total_over,was_correct_ou,pick_probability
2025,9,2025-10-30,BAL,MIA,28,6,-7.5,7.5,0.4272417989176969,0,BAL to cover (-7.5),-0.01994071392205609,-0.08941849664447943,0.0004023597613144747,0.20100790853042816,57.4,56.2,0.6,0.2,0.0,-11.8,23.6,18.6,23.6,30.4,4,4,51.5,0.4891144459744802,0,Under 51.5,0.0,BAL covered (-7.5),1.0,-14.5,0.0,1.0,0.5727582010823031
2025,8,2025-10-26,TEN,IND,14,38,15.5,-15.5,0.5727201266550425,1,IND to cover (-15.5),0.23236422315840563,-0.22886735439828026,-0.025274998049595578,0.1113987595400687,55.4,56.0,0.6,0.2,13.2,-14.8,34.0,13.0,20.8,27.8,7,7,47.5,0.5546867737805359,1,Over 47.5,1.0,IND covered (-15.5),1.0,8.5,1.0,1.0,0.5727201266550425
2025,2,2025-09-14,DEN,IND,28,29,-2.5,2.5,0.42785282748866194,0,DEN to cover (-2.5),0.017139478959486133,0.10048712080183206,-0.018368106182720563,-0.03411566910658383,71.0,61.0,0.4,0.2,1.2,1.8,28.6,23.2,27.4,21.4,7,7,43.5,0.49473631464224416,0,Under 43.5,1.0,IND covered (+2.5),0.0,3.5,1.0,0.0,0.5721471725113381
2025,5,2025-10-05,DAL,NYJ,37,22,1.5,-1.5,0.4279157555819762,0,DAL to cover (+1.5),-0.009896290475274072,0.08875300189064857,0.07746568778291155,0.22245435683497927,58.6,69.6,0.6,0.6,-3.6,-4.4,24.4,26.6,28.0,31.0,6,7,48.5,0.5550851498298294,1,Over 48.5,0.0,DAL covered (+1.5),1.0,-16.5,1.0,1.0,0.5720842444180239
2025,16,2025-12-21,NE,BAL,28,24,3.5,-3.5,0.42806210832866237,0,NE to cover (+3.5),-0.05149018240305925,0.15232604058460503,-0.12437562229525363,-0.016248390082917074,56.4,59.2,0.2,0.6,4.2,7.6,21.2,29.0,17.0,21.4,7,7,48.5,0.4862850122397159,0,Under 48.5,0.0,NE covered (+3.5),1.0,-7.5,1.0,0.0,0.5719378916713376
2025,2,2025-09-14,ATL,MIN,22,6,3.5,-3.5,0.428265573026093,0,ATL to cover (+3.5),-0.1435187995535065,0.05666088151491851,-0.0015631472349442205,0.010793862321035274,61.8,65.4,0.6,0.2,-6.4,3.6,19.8,26.2,26.2,22.6,6,7,44.5,0.4314235749652693,0,Under 44.5,0.0,ATL covered (+3.5),1.0,-19.5,0.0,1.0,0.571734426973907
2025,15,2025-12-14,ARI,HOU,20,40,10.5,-10.5,0.5705530815866721,1,HOU to cover (-10.5),-0.024386273586667902,-0.07691187570230676,-0.18575541790952568,0.11547936732728958,66.2,68.8,0.8,0.2,5.6,-15.0,23.0,20.4,17.4,35.4,7,7,42.5,0.5624844714436102,1,Over 42.5,1.0,HOU covered (-10.5),1.0,9.5,1.0,1.0,0.5705530815866721
2025,21,2026-01-25,LA,SEA,27,31,2.5,-2.5,0.5698594905866812,1,SEA to cover (-2.5),0.043538265679766784,0.10582523499770684,-0.23598000318893275,0.01480690814045701,60.4,72.8,0.6,0.4,13.0,3.8,27.4,30.4,14.4,26.6,8,7,45.5,0.5874082070388981,1,Over 45.5,1.0,SEA covered (-2.5),1.0,1.5,1.0,1.0,0.5698594905866812
2025,3,2025-09-22,DET,BAL,38,30,4.5,-4.5,0.4305208406959576,0,DET to cover (+4.5),0.22152682404202206,0.16462160138557738,-0.05741988410505726,0.06545504062604161,58.8,64.0,0.6,0.6,12.0,6.2,33.8,33.4,21.8,27.2,8,8,53.5,0.5313978660601673,1,Over 53.5,0.0,DET covered (+4.5),1.0,-12.5,1.0,1.0,0.5694791593040425
2025,17,2025-12-29,LA,ATL,24,27,-7.5,7.5,0.5693828213231182,1,ATL to cover (+7.5),-0.004721469657575282,0.22300843370701912,-0.0125785743232429,-0.013264695146225029,64.2,65.2,0.6,0.8,-1.8,11.6,22.4,37.0,24.2,25.4,8,11,48.5,0.4560767366114539,0,Under 48.5,1.0,ATL covered (+7.5),1.0,10.5,1.0,0.0,0.5693828213231182
2025,6,2025-10-12,ARI,IND,27,31,8.5,-8.5,0.43123261013401304,0,ARI to cover (+8.5),0.19848234732361175,0.0008782306010206465,-0.0737406916728967,-0.020020611592703807,60.6,60.0,0.8,0.4,14.8,1.4,32.6,20.6,17.8,19.2,7,7,46.5,0.5574156150719898,1,Over 46.5,0.0,ARI covered (+8.5),1.0,-4.5,1.0,1.0,0.568767389865987
2025,16,2025-12-21,LV,HOU,21,23,14.5,-14.5,0.4314590817333017,0,LV to cover (+14.5),0.010552363598502434,-0.27886794998160924,-0.13622582141149991,0.09098158643182522,63.8,53.2,0.8,0.2,8.2,-17.2,23.8,11.4,15.6,28.6,7,7,39.5,0.6250543565378549,1,Over 39.5,0.0,LV covered (+14.5),1.0,-12.5,1.0,1.0,0.5685409182666983
