season,week,gameday,away_team,home_team,away_score,home_score,away_spread_line,home_spread_line,pred_prob_home_cover,pred_home_covers,recommended_pick,home_off_epa_last_n,away_off_epa_last_n,home_def_epa_allowed_last_n,away_def_epa_allowed_last_n,home_pace_plays_last_n,away_pace_plays_last_n,home_ats_rate_last_n,away_ats_rate_last_n,home_point_diff_last_n,away_point_diff_last_n,home_score_for_last_n,away_score_for_last_n,home_score_against_last_n,away_score_against_last_n,home_rest,away_rest,total_line,pred_prob_total_over,pred_total_over,ou_pick,actual_home_covers,actual_result,was_correct,home_cover_margin,actual_total_over,was_correct_ou,pick_probability
2026,2,2026-09-20,CLE,TB,23.0,19.0,8.5,-8.5,0.3722060849295698,0,CLE to cover (+8.5),0.00357111535476195,-0.22105098947595847,0.08051882737326738,0.02666689823888823,60.4,54.0,0.0,0.6,-2.2,-9.2,21.6,13.2,23.8,22.4,7,7,41.5,0.3974513677748427,0,Under 41.5,0.0,CLE covered (+8.5),1.0,-12.5,1.0,0.0,0.6277939150704301
2026,3,2026-09-27,MIN,TB,,,-1.5,1.5,0.6065858752111963,1,TB to cover (+1.5),-0.0366593775092538,-0.09486032554493219,0.03891990811639217,-0.29438066859204104,60.4,56.0,0.0,1.0,-2.8,10.4,19.8,20.6,22.6,10.2,7,7,42.5,0.5220545490423469,1,Over 42.5,,,,,,,0.6065858752111963
2026,1,2026-09-13,MIA,LV,13.0,27.0,3.0,-3.0,0.3968978434033065,0,MIA to cover (+3.0),-0.24229051773459412,-0.025484993486074203,0.0027492310815626863,0.1075032171841851,51.4,55.0,0.6,0.4,-12.4,-7.6,12.4,20.0,24.8,27.6,7,7,40.5,0.5256421278786757,1,Over 40.5,1.0,LV covered (-3.0),0.0,11.0,0.0,0.0,0.6031021565966934
2026,3,2026-09-27,NE,JAX,,,3.0,-3.0,0.5929696772763619,1,JAX to cover (-3.0),0.10855511820683132,-0.18101988689263102,-0.07408446261711013,-0.21185098403413755,57.0,61.6,0.6,0.4,10.8,2.6,27.0,16.2,16.2,13.6,7,7,45.5,0.5914520546191894,1,Over 45.5,,,,,,,0.5929696772763619
2026,2,2026-09-20,MIA,SF,13.0,35.0,12.5,-12.5,0.4092728856048899,0,MIA to cover (+12.5),-0.04941408636266043,-0.11401401555729947,0.06755259054308112,0.19024127435383695,57.8,52.8,0.6,0.2,-3.4,-15.2,20.2,15.8,23.6,31.0,10,7,44.5,0.4843542419584766,0,Under 44.5,1.0,SF covered (-12.5),0.0,9.5,1.0,0.0,0.59072711439511
2026,1,2026-09-13,CLE,JAX,10.0,34.0,8.5,-8.5,0.5875434037474403,1,JAX to cover (-8.5),0.1334411672975911,-0.19558242413919463,-0.10009231941933172,-0.05950928682790431,60.2,57.4,0.8,0.6,15.8,-4.8,34.0,17.0,18.2,21.8,7,7,40.5,0.5827311005427627,1,Over 40.5,1.0,JAX covered (-8.5),1.0,15.5,1.0,1.0,0.5875434037474403
2026,1,2026-09-13,TB,CIN,27.0,33.0,3.5,-3.5,0.4152814972835479,0,TB to cover (+3.5),0.08178308727968085,0.004944232169463396,0.04682140408574334,0.08446927586005185,65.2,64.0,0.6,0.0,3.2,-1.8,26.8,20.2,23.6,22.0,7,7,50.5,0.5177882088691829,1,Over 50.5,1.0,CIN covered (-3.5),0.0,2.5,1.0,1.0,0.5847185027164521
2026,2,2026-09-17,DET,BUF,31.0,41.0,5.5,-5.5,0.428130080487667,0,DET to cover (+5.5),0.15810202439269627,-0.012333234247356443,-0.049013457367934804,0.01631385837228271,66.6,67.8,0.6,0.2,6.2,-4.2,28.0,23.6,21.8,27.8,4,4,54.5,0.5041443467327814,1,Over 54.5,1.0,BUF covered (-5.5),0.0,4.5,1.0,1.0,0.571869919512333
2026,3,2026-09-27,SEA,WAS,,,-7.0,7.0,0.5683492166976454,1,WAS to cover (+7.0),0.034993268659509344,0.11198356259282087,0.13944003985174397,-0.17629548207607468,57.4,60.4,0.6,0.8,-6.0,16.4,21.4,29.0,27.4,12.6,7,7,40.5,0.5336449804162882,1,Over 40.5,,,,,,,0.5683492166976454
2026,2,2026-09-20,CIN,HOU,20.0,6.0,3.0,-3.0,0.4346305592931495,0,CIN to cover (+3.0),-0.0839729053154882,0.05769326247319684,-0.17628518753795874,-0.0412022629692831,66.6,66.2,0.4,0.6,3.8,5.4,27.0,26.6,23.2,21.2,7,7,45.5,0.446880080148694,0,Under 45.5,0.0,CIN covered (+3.0),1.0,-17.0,0.0,1.0,0.5653694407068506
2026,1,2026-09-13,BAL,IND,41.0,23.0,-3.0,3.0,0.4379237576480161,0,BAL to cover (-3.0),-0.12036414244387036,0.1663126451027869,0.08792414509333454,0.07038334862357361,59.4,57.0,0.4,0.4,-10.8,6.0,21.8,27.0,32.6,21.0,7,7,48.5,0.534433403943501,1,Over 48.5,0.0,BAL covered (-3.0),1.0,-15.0,1.0,1.0,0.5620762423519838
2026,1,2026-09-13,ATL,PIT,13.0,20.0,6.5,-6.5,0.4391655142318391,0,ATL to cover (+6.5),-0.05100003634751271,-0.043599787818356904,0.010881515694868494,-0.003062983654279955,64.8,62.2,0.6,0.6,-2.2,-3.0,19.0,22.0,21.2,25.0,7,7,40.5,0.4613840628781128,0,Under 40.5,1.0,PIT covered (-6.5),0.0,0.5,0.0,1.0,0.5608344857681609
2026,2,2026-09-20,LV,LAC,26.0,14.0,6.5,-6.5,0.4393791677826467,0,LV to cover (+6.5),-0.13612342617838663,-0.23935071523941526,-0.03474999766453386,-0.07548378531237104,59.2,54.8,0.2,0.6,-5.6,-8.2,14.0,14.4,19.6,22.6,7,7,43.5,0.418384155234526,0,Under 43.5,0.0,LV covered (+6.5),1.0,-18.5,0.0,1.0,0.5606208322173534
2026,1,2026-09-13,DAL,NYG,20.0,28.0,-3.0,3.0,0.5544848977964625,1,NYG to cover (+3.0),-0.018613544275596267,0.04302903340097036,-0.04591380761768659,0.2674168793094124,59.8,68.4,0.4,0.0,2.4,-9.8,23.4,24.0,21.0,33.8,7,7,47.5,0.569383392955834,1,Over 47.5,1.0,NYG covered (+3.0),1.0,11.0,1.0,1.0,0.5544848977964625
2026,3,2026-09-27,LA,DEN,,,-2.5,2.5,0.447151982597078,0,LA to cover (-2.5),-0.13659075799744114,0.09938055516128931,-0.07016870151604085,-0.032398219969908326,56.4,63.2,0.8,0.2,0.4,0.8,17.8,23.2,17.4,22.4,7,6,45.5,0.4633365715876669,0,Under 45.5,,,,,,,0.552848017402922
2026,1,2026-09-13,NO,DET,30.0,31.0,7.0,-7.0,0.449148601412013,0,NO to cover (+7.0),0.05423402720029511,0.04998060341729093,0.019756852170844226,-0.1707070918249885,64.2,61.4,0.4,1.0,-1.6,7.2,26.2,24.8,27.8,17.6,7,7,49.5,0.4619575924853905,0,Under 49.5,0.0,NO covered (+7.0),1.0,-6.0,1.0,0.0,0.550851398587987
2026,3,2026-09-27,ARI,SF,,,8.5,-8.5,0.44946442125832525,0,ARI to cover (+8.5),-0.014314994312532447,-0.03891185398555343,-0.005163358533826025,0.10381732497072131,53.6,55.8,0.6,0.2,0.2,-11.8,18.8,17.2,18.6,29.0,7,7,47.5,0.47425283633371884,0,Under 47.5,,,,,,,0.5505355787416748
2026,3,2026-09-27,KC,MIA,,,-11.5,11.5,0.5491888444438322,1,MIA to cover (+11.5),-0.10615854612957451,-0.11735805609914282,0.23768589246097943,-0.10768384605390731,54.0,57.6,0.2,0.4,-17.0,-0.4,15.4,19.6,32.4,20.0,7,7,46.5,0.5110749880913004,1,Over 46.5,,,,,,,0.5491888444438322
2026,1,2026-09-13,WAS,PHI,22.0,24.0,6.0,-6.0,0.4510922151006706,0,WAS to cover (+6.0),0.054435687783877126,-0.07665679551031593,-0.11538284704813798,0.1458375931663017,63.6,51.2,0.6,0.6,6.4,-6.8,21.8,18.8,15.4,25.6,7,7,43.5,0.5106570980148116,1,Over 43.5,0.0,WAS covered (+6.0),1.0,-4.0,1.0,1.0,0.5489077848993293
