season,week,gameday,away_team,home_team,away_score,home_score,away_spread_line,home_spread_line,pred_prob_home_cover,pred_home_covers,recommended_pick,home_off_epa_last_n,away_off_epa_last_n,home_def_epa_allowed_last_n,away_def_epa_allowed_last_n,home_pace_plays_last_n,away_pace_plays_last_n,home_ats_rate_last_n,away_ats_rate_last_n,home_point_diff_last_n,away_point_diff_last_n,home_score_for_last_n,away_score_for_last_n,home_score_against_last_n,away_score_against_last_n,home_rest,away_rest,total_line,pred_prob_total_over,pred_total_over,ou_pick,actual_home_covers,actual_result,was_correct,home_cover_margin,actual_total_over,was_correct_ou,pick_probability
2025,19,2026-01-11,LAC,NE,3,16,3.5,-3.5,0.6912143057105024,1,NE to cover (-3.5),0.2943569035548088,-0.09996275351524371,-0.05686233788426774,-0.13412993918946595,58.8,63.6,0.8,0.6,15.6,0.6,34.4,18.2,18.8,17.6,7,7,45.5,0.5116796398472114,1,Over 45.5,1.0,NE covered (-3.5),1.0,9.5,0.0,0.0,0.6912143057105024
2025,16,2025-12-21,MIN,NYG,16,13,-2.5,2.5,0.34800207483070844,0,MIN to cover (-2.5),0.03708120957841272,-0.15780530357423117,0.13916839989410945,-0.10436044032218623,67.0,51.0,0.6,0.4,-8.8,-1.2,20.6,17.6,29.4,18.8,7,7,41.5,0.4348840229715853,0,Under 41.5,0.0,MIN covered (-2.5),1.0,-0.5,0.0,1.0,0.6519979251692916
2025,18,2026-01-03,CAR,TB,14,16,3.0,-3.0,0.3535938177243385,0,CAR to cover (+3.0),0.016142692664040857,-0.052610651733301726,0.08349363830305866,0.05963531543892978,61.6,52.2,0.0,0.4,-1.6,-5.0,21.0,18.0,22.6,23.0,6,6,43.5,0.37443972382669427,0,Under 43.5,0.0,CAR covered (+3.0),1.0,-1.0,0.0,1.0,0.6464061822756615
2025,19,2026-01-10,LA,CAR,34,31,-10.0,10.0,0.6403095218691055,1,CAR to cover (+10.0),-0.016765858974209007,0.20242419062273243,0.061112909541193264,0.055565449071324526,52.8,70.0,0.6,0.8,-3.2,9.6,19.0,36.8,22.2,27.2,7,6,44.5,0.4940666090735505,0,Under 44.5,1.0,CAR covered (+10.0),1.0,7.0,1.0,0.0,0.6403095218691055
2025,17,2025-12-25,DET,MIN,10,23,-7.0,7.0,0.6365577600843632,1,MIN to cover (+7.0),-0.1306417510695115,0.1555340536667188,-0.17065294793466107,0.1601933999803577,51.2,61.6,0.6,0.2,-0.2,0.4,17.4,32.0,17.6,31.6,4,4,45.5,0.44683770566665815,0,Under 45.5,1.0,MIN covered (+7.0),1.0,20.0,0.0,1.0,0.6365577600843632
2025,2,2025-09-14,SEA,PIT,31,17,3.5,-3.5,0.36397739843258037,0,SEA to cover (+3.5),-0.03557172516464883,-0.09947401918040093,0.19514435610345782,0.018102803362576504,57.4,53.6,0.2,0.0,-10.0,-3.2,18.4,17.2,28.4,20.4,7,7,40.5,0.5408751428275722,1,Over 40.5,0.0,SEA covered (+3.5),1.0,-17.5,1.0,1.0,0.6360226015674196
2025,15,2025-12-14,MIN,DAL,34,26,5.5,-5.5,0.3663257525454879,0,MIN to cover (+5.5),0.041173396950176404,-0.2351609635246696,0.10818950762167594,-0.12742175131667272,65.8,53.2,0.6,0.2,-0.2,-4.4,27.0,14.6,27.2,19.0,10,7,47.5,0.6130058881016647,1,Over 47.5,0.0,MIN covered (+5.5),1.0,-13.5,1.0,1.0,0.6336742474545121
2025,12,2025-11-23,JAX,ARI,27,24,-2.5,2.5,0.3682605419753554,0,JAX to cover (-2.5),0.00030864310078457523,-0.03618593288908405,0.08414177721557041,-0.02525929414731095,70.0,68.6,0.6,0.2,-7.8,-2.6,24.2,22.6,32.0,25.2,7,7,47.5,0.5128712378208654,1,Over 47.5,0.0,JAX covered (-2.5),1.0,-0.5,1.0,1.0,0.6317394580246446
2025,20,2026-01-18,HOU,NE,16,28,3.0,-3.0,0.6170222277401136,1,NE to cover (-3.0),0.2573658598626744,0.001534280719822223,-0.08608629241749947,-0.17253678962067948,58.8,61.4,0.8,0.6,14.6,11.6,31.0,30.2,16.4,18.6,7,6,40.5,0.5956297858425781,1,Over 40.5,1.0,NE covered (-3.0),1.0,9.0,1.0,1.0,0.6170222277401136
2025,1,2025-09-07,DET,GB,13,27,1.5,-1.5,0.616659978697285,1,GB to cover (-1.5),0.024291765945322615,0.21137684421538436,-0.14430513442769807,0.15754003561268842,61.4,67.4,0.4,0.6,7.0,5.0,24.2,35.6,17.2,30.6,7,7,48.5,0.4091514185943155,0,Under 48.5,1.0,GB covered (-1.5),1.0,12.5,0.0,1.0,0.616659978697285
2025,18,2026-01-04,NYJ,BUF,8,35,12.5,-12.5,0.6166382319318651,1,BUF to cover (-12.5),0.11122138888707352,-0.2310508135540684,-0.05530697925106516,0.23804029131011104,63.4,62.6,0.4,0.2,6.0,-20.8,27.0,14.6,21.0,35.4,7,7,39.5,0.5607146677035949,1,Over 39.5,1.0,BUF covered (-12.5),1.0,14.5,1.0,1.0,0.6166382319318651
2025,3,2025-09-21,KC,NYG,22,9,-6.0,6.0,0.3851675945744788,0,KC to cover (-6.0),-0.038104118940107054,0.009645682561870077,0.0804469850979002,0.1189315524601499,57.0,54.8,0.4,0.2,-8.0,-3.0,21.6,23.0,29.6,26.0,7,7,44.5,0.44813396926775,0,Under 44.5,0.0,KC covered (-6.0),1.0,-7.0,0.0,1.0,0.6148324054255212
